iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,icu_patients
AFG,Asia,Afghanistan,177093,54,7654,2,
OWID_AFR,,Africa,11460017,1383,251180,12,
ALB,Europe,Albania,273088,48,3487,0,
DZA,Africa,Algeria,265550,11,6871,0,7
AND,Europe,Andorra,39234,440,153,0,
AGO,Africa,Angola,99003,0,1900,0,
AIA,North America,Anguilla,2595,0,9,0,
ATG,North America,Antigua and Barbuda,7473,0,135,0,
ARG,South America,Argentina,9007753,1227,127494,11,768
ARM,Asia,Armenia,422307,21,8595,2,
ABW,North America,Aruba,33843,0,212,0,
OWID_ASI,,Asia,132993357,523980,1389465,1496,
AUS,Oceania,Australia,3943368,43230,5736,11,84
AUT,Europe,Austria,3466203,37192,15409,22,200
AZE,Asia,Azerbaijan,791482,78,9656,5,
BHS,North America,Bahamas,33221,10,787,10,
BHR,Asia,Bahrain,544851,1016,1465,0,
BGD,Asia,Bangladesh,1950609,82,29117,3,
BRB,North America,Barbados,57733,73,329,2,
BLR,Europe,Belarus,951081,1087,6722,6,
BEL,Europe,Belgium,3707561,11502,30529,19,170
BLZ,North America,Belize,57143,0,654,0,
BEN,Africa,Benin,26952,377,163,0,
BMU,North America,Bermuda,12094,105,126,0,
BTN,Asia,Bhutan,22004,344,9,0,
BOL,South America,Bolivia,899697,173,21482,0,43
BES,North America,Bonaire Sint Eustatius and Saba,7739,0,31,0,
BIH,Europe,Bosnia and Herzegovina,373985,186,15664,0,
BWA,Africa,Botswana,263950,0,2619,0,
BRA,South America,Brazil,29637814,13379,657495,106,
VGB,North America,British Virgin Islands,6104,0,62,0,
BRN,Asia,Brunei,124716,1294,189,9,
BGR,Europe,Bulgaria,1124186,472,36282,10,345
BFA,Africa,Burkina Faso,20813,0,379,0,
BDI,Africa,Burundi,38308,0,38,0,
KHM,Asia,Cambodia,134986,97,3051,1,
CMR,Africa,Cameroon,119544,130,1927,1,
CAN,North America,Canada,3404964,2253,37215,11,401
CPV,Africa,Cape Verde,55925,0,401,0,
CYM,North America,Cayman Islands,20336,263,23,0,
CAF,Africa,Central African Republic,14649,329,113,0,
TCD,Africa,Chad,7269,0,190,0,
CHL,South America,Chile,3392978,11297,44518,78,775
CHN,Asia,China,130684,485,4638,0,
COL,South America,Colombia,6081131,542,139452,18,
COM,Africa,Comoros,8076,0,160,0,
COG,Africa,Congo,24059,0,383,0,
COK,Oceania,Cook Islands,743,0,,,
CRI,North America,Costa Rica,829400,958,8226,11,
CIV,Africa,Cote d'Ivoire,81655,0,796,0,
HRV,Europe,Croatia,1084012,901,15435,10,
CUB,North America,Cuba,1081472,786,8506,0,
CUW,North America,Curacao,39853,293,265,0,
CYP,Europe,Cyprus,377356,3698,919,3,5
CZE,Europe,Czechia,3737891,4792,39359,7,158
COD,Africa,Democratic Republic of Congo,86461,0,1335,0,
DNK,Europe,Denmark,3004907,4984,5402,27,23
DJI,Africa,Djibouti,15573,0,189,0,
DMA,North America,Dominica,11724,0,62,0,
DOM,North America,Dominican Republic,577317,0,4375,0,
ECU,South America,Ecuador,853850,4151,35410,62,
EGY,Africa,Egypt,495373,0,24277,0,
SLV,North America,El Salvador,161052,110,4109,0,
GNQ,Africa,Equatorial Guinea,15899,0,183,0,
ERI,Africa,Eritrea,9723,0,103,0,
EST,Europe,Estonia,542386,835,2392,7,19
SWZ,Africa,Eswatini,69552,4,1392,0,
ETH,Africa,Ethiopia,469455,14,7489,0,
OWID_EUR,,Europe,171892361,392063,1753751,893,
OWID_EUN,,European Union,119567488,357156,1036155,343,
FRO,Europe,Faeroe Islands,34658,0,28,0,
FLK,South America,Falkland Islands,119,0,,,
FJI,Oceania,Fiji,64221,0,834,0,
FIN,Europe,Finland,786312,3400,2783,20,40
FRA,Europe,France,24189928,81283,141002,30,1642
PYF,Oceania,French Polynesia,71243,417,645,0,
GAB,Africa,Gabon,47570,0,303,0,
GMB,Africa,Gambia,11978,0,365,0,
GEO,Asia,Georgia,1641874,475,16663,20,
DEU,Europe,Germany,18809998,92316,126933,13,2272
GHA,Africa,Ghana,160819,28,1445,0,
GIB,Europe,Gibraltar,16253,105,101,0,
GRC,Europe,Greece,2788654,12462,26937,44,
GRL,North America,Greenland,11926,0,20,0,
GRD,North America,Grenada,13936,0,217,0,
GTM,North America,Guatemala,816136,360,17238,7,
GGY,Europe,Guernsey,,,,,
GIN,Africa,Guinea,36435,0,440,0,
GNB,Africa,Guinea-Bissau,8113,0,169,0,
GUY,South America,Guyana,63194,11,1226,0,
HTI,North America,Haiti,30478,0,827,0,
OWID_HIC,,High income,258372770,722989,2266661,1286,
HND,North America,Honduras,418300,1099,10857,15,
HKG,Asia,Hong Kong,1047690,14149,5896,246,
HUN,Europe,Hungary,1824089,3322,44961,66,
ISL,Europe,Iceland,170806,1548,91,0,4
IND,Asia,India,43009390,1549,516510,31,
IDN,Asia,Indonesia,5962483,5922,153738,139,
OWID_INT,,International,721,0,15,0,
IRN,Asia,Iran,7141033,1816,139610,60,
IRQ,Asia,Iraq,2316044,253,25129,2,
IRL,Europe,Ireland,1365467,5452,6638,0,41
IMN,Europe,Isle of Man,26101,276,81,0,
ISR,Asia,Israel,3772751,13803,10431,12,165
ITA,Europe,Italy,13861743,61564,157785,93,467
JAM,North America,Jamaica,128539,39,2867,4,
JPN,Asia,Japan,6100331,39560,27122,66,1534
JEY,Europe,Jersey,,,,,
JOR,Asia,Jordan,1680179,25502,13959,77,
KAZ,Asia,Kazakhstan,1393427,58,19001,0,
KEN,Africa,Kenya,323281,9,5647,0,
KIR,Oceania,Kiribati,3049,0,13,0,
OWID_KOS,Europe,Kosovo,227124,31,3127,0,
KWT,Asia,Kuwait,627342,199,2553,0,
KGZ,Asia,Kyrgyzstan,200818,9,2980,1,
LAO,Asia,Laos,152957,1001,645,0,
LVA,Europe,Latvia,771038,1907,5511,4,80
LBN,Asia,Lebanon,1088196,361,10248,5,
LSO,Africa,Lesotho,32775,0,697,0,
LBR,Africa,Liberia,7397,0,294,0,
LBY,Africa,Libya,501015,151,6374,6,
LIE,Europe,Liechtenstein,15312,69,81,0,
LTU,Europe,Lithuania,992101,2671,8728,12,
OWID_LIC,,Low income,1812158,170,42915,5,
OWID_LMC,,Lower middle income,87473866,179167,1291745,549,
LUX,Europe,Luxembourg,199202,1501,1010,0,3
MAC,Asia,Macao,82,0,,,
MDG,Africa,Madagascar,63928,0,1380,0,
MWI,Africa,Malawi,85561,5,2626,0,
MYS,Asia,Malaysia,3993124,19105,34400,71,371
MDV,Asia,Maldives,174658,0,297,0,
MLI,Africa,Mali,30453,5,727,0,
MLT,Europe,Malta,74518,203,622,1,3
MHL,Oceania,Marshall Islands,7,0,,,
MRT,Africa,Mauritania,58662,0,981,0,
MUS,Africa,Mauritius,192558,11196,934,0,
MEX,North America,Mexico,5633928,4114,322072,141,
FSM,Oceania,Micronesia (country),1,0,,,
MDA,Europe,Moldova,510460,254,11389,8,
MCO,Europe,Monaco,10127,3,54,0,
MNG,Asia,Mongolia,916723,278,2177,0,
MNE,Europe,Montenegro,232193,76,2696,0,
MSR,North America,Montserrat,174,0,3,0,
MAR,Africa,Morocco,1162497,53,16052,1,
MOZ,Africa,Mozambique,225210,4,2200,1,
MMR,Asia,Myanmar,608990,227,19425,2,
NAM,Africa,Namibia,157523,7,4016,1,
NPL,Asia,Nepal,978155,28,11950,0,
NLD,Europe,Netherlands,7605158,34823,21899,8,137
NCL,Oceania,New Caledonia,59921,0,306,0,
NZL,Oceania,New Zealand,497731,14509,163,12,
NIC,North America,Nicaragua,18290,0,228,0,
NER,Africa,Niger,8788,0,308,0,
NGA,Africa,Nigeria,255103,0,3142,0,
NIU,Oceania,Niue,,,,,
OWID_NAM,,North America,94091488,14991,1403035,257,
MKD,Europe,North Macedonia,303354,214,9180,8,
NOR,Europe,Norway,1379467,1229,2169,343,
OWID_OCE,,Oceania,4700163,58507,8479,23,
OMN,Asia,Oman,387505,325,4250,0,
PAK,Asia,Pakistan,1522191,303,30331,2,
PLW,Oceania,Palau,3945,0,6,0,
PSE,Asia,Palestine,654380,312,5628,0,
PAN,North America,Panama,761508,504,8156,3,
PNG,Oceania,Papua New Guinea,41533,0,639,0,
PRY,South America,Paraguay,647099,131,18586,9,
PER,South America,Peru,3540793,685,211814,63,
PHL,Asia,Philippines,3674286,569,58263,240,
POL,Europe,Poland,5891140,5694,114218,12,
PRT,Europe,Portugal,3458727,45714,21408,66,66
QAT,Asia,Qatar,359956,150,677,0,
ROU,Europe,Romania,2816039,2241,64685,16,630
RUS,Europe,Russia,17327694,30513,357234,422,
RWA,Africa,Rwanda,129647,10,1459,0,
SHN,Africa,Saint Helena,4,0,,,
KNA,North America,Saint Kitts and Nevis,5548,4,42,0,
LCA,North America,Saint Lucia,22884,6,365,0,
SPM,North America,Saint Pierre and Miquelon,1693,139,1,0,
VCT,North America,Saint Vincent and the Grenadines,8326,0,106,0,
WSM,Oceania,Samoa,111,51,,,
SMR,Europe,San Marino,14870,0,112,0,
STP,Africa,Sao Tome and Principe,5941,1,73,0,
SAU,Asia,Saudi Arabia,749597,126,9028,1,
SEN,Africa,Senegal,85827,6,1964,0,
SRB,Europe,Serbia,1955280,1383,15687,11,42
SYC,Africa,Seychelles,39797,0,163,0,
SLE,Africa,Sierra Leone,7674,1,125,0,
SGP,Asia,Singapore,1015017,7859,1198,4,20
SXM,North America,Sint Maarten (Dutch part),,,,,
SVK,Europe,Slovakia,2351701,7644,19110,17,230
SVN,Europe,Slovenia,936847,1474,6442,7,71
SLB,Oceania,Solomon Islands,9851,0,127,0,
SOM,Africa,Somalia,26410,0,1361,0,
ZAF,Africa,South Africa,3704218,889,99881,2,
OWID_SAM,,South America,55598357,32088,1271606,290,
KOR,Asia,South Korea,9582815,209169,12757,329,1244
SSD,Africa,South Sudan,17093,0,138,0,
ESP,Europe,Spain,11324637,64597,101703,287,571
